a,b,rho,P
700,700,1.73E+12,1.87E+30
701,701,1.74E+12,1.88E+30
702,702,1.76E+12,1.90E+30
703,703,1.78E+12,1.92E+30
704,704,1.79E+12,1.93E+30
705,705,1.81E+12,1.95E+30
706,706,1.83E+12,1.96E+30
707,707,1.84E+12,1.98E+30
708,708,1.86E+12,2.00E+30
709,709,1.88E+12,2.01E+30
710,710,1.89E+12,2.03E+30
711,711,1.91E+12,2.05E+30
712,712,1.93E+12,2.06E+30
713,713,1.94E+12,2.08E+30
714,714,1.96E+12,2.10E+30
715,715,1.98E+12,2.11E+30
716,716,1.99E+12,2.13E+30
717,717,2.01E+12,2.15E+30
718,718,2.03E+12,2.16E+30
719,719,2.04E+12,2.18E+30
720,720,2.06E+12,2.20E+30
721,721,2.08E+12,2.21E+30
722,722,2.18E+12,2.32E+30
723,723,2.26E+12,2.41E+30
724,724,2.60E+12,2.77E+30
725,725,2.68E+12,2.87E+30
726,726,2.85E+12,3.06E+30
727,727,3.69E+12,4.10E+30
728,728,3.86E+12,4.32E+30
729,729,4.02E+12,4.55E+30
730,730,4.19E+12,4.78E+30
731,731,4.36E+12,5.01E+30
732,732,4.53E+12,5.25E+30
733,733,4.70E+12,5.49E+30
734,734,4.86E+12,5.74E+30
735,735,5.03E+12,5.99E+30
736,736,5.20E+12,6.24E+30
737,737,5.37E+12,6.50E+30
738,738,5.54E+12,6.76E+30
739,739,5.70E+12,7.02E+30
740,740,5.87E+12,7.29E+30
741,741,6.04E+12,7.56E+30
742,742,6.21E+12,7.83E+30
743,743,7.05E+12,9.25E+30
744,744,7.38E+12,9.83E+30
745,745,7.72E+12,1.04E+31
746,746,8.06E+12,1.10E+31
747,747,8.39E+12,1.16E+31
748,748,8.73E+12,1.23E+31
749,749,9.06E+12,1.29E+31
750,750,9.40E+12,1.36E+31
751,751,9.74E+12,1.42E+31
752,752,1.01E+13,1.49E+31
753,753,1.04E+13,1.55E+31
754,754,1.07E+13,1.62E+31
755,755,1.11E+13,1.69E+31
756,756,1.14E+13,1.76E+31
757,757,1.18E+13,1.83E+31
758,758,1.21E+13,1.90E+31
759,759,1.24E+13,1.97E+31
760,760,1.28E+13,2.05E+31
761,761,1.31E+13,2.12E+31
762,762,1.34E+13,2.19E+31
763,763,1.38E+13,2.27E+31
764,764,1.41E+13,2.34E+31
765,765,1.44E+13,2.42E+31
766,766,1.48E+13,2.49E+31
767,767,1.51E+13,2.57E+31
768,768,1.55E+13,2.65E+31
769,769,1.58E+13,2.73E+31
770,770,1.61E+13,2.81E+31
771,771,1.65E+13,2.89E+31
772,772,1.68E+13,2.96E+31
773,773,1.71E+13,3.05E+31
774,774,1.75E+13,3.13E+31
775,775,1.78E+13,3.21E+31
